Siglas de la Institución,Institución,Nombre de la UC,Código del expediente,Clave CUCOP,Título del expediente,Número del procedimiento,Fecha de fallo,Fecha de publicación,Fecha de apertura,Carácter del procedimiento,Tipo de contratación,Tipo de procedimiento,Forma de participación,Código del contrato,Título del contrato,Descripción del contrato,Fecha de inicio del contrato,Fecha de fin del contrato,Importe del contrato,Moneda del contrato,Estatus del contrato,Convenio modificatorio,Contrato plurianual,RFC,Proveedor o contratista,Estratificación de la empresa,Clave del país de la empresa,Dirección del anuncio
HIM,Hospital Infantil de México Federico Gómez,HIM-Departamento de Adquisiciones Generales #012NBG001,2089523,3540,"Mantenimiento Preventivo y Correctivo a Equipo de Pletismografía, 2020",AA-012NBG001-E42-2020,,2020-04-02 22:16,2020-04-03 13:00,Nacional,Servicios,ADJUDICACIÓN DIRECTA,Presencial,2294550,"DATOS RELEVANTES DEL CONTRATO Mantenimiento Preventivo y Correctivo a Equipo de Pletismografía, 2020","DATOS RELEVANTES DEL CONTRATO Mantenimiento Preventivo y Correctivo a Equipo de Pletismografía, 2020",2020-04-03,2020-12-31,154750,MXN,Expirado,0,0,SIM881017I91,SERVICIOS DE INGENIERIA EN MEDICINA SA DE CV,No MIPYME,MX,https://compranet.hacienda.gob.mx/esop/guest/go/opportunity/detail?opportunityId=1827869
ISSSTE,Instituto de Seguridad y Servicios Sociales de los Trabajadores del Estado,"ISSSTE-Subdelegación de Administración, Delegación Regional Poniente #051GYN028",2103523,2950,DRP/DA/AD/027/2020 Material Covid-19,AA-051GYN028-E23-2020,,2020-06-16 17:56,2020-04-06 00:00,Nacional,Adquisiciones,ADJUDICACIÓN DIRECTA,Mixta,2304702,DRP/DA/AD/027/2020 Material Covid-19,"Compra de:

BATERÍA PARA VENTILADOR PURITAN BENNETT  840 (CADA EQUIPO CONTIENE DOS BATERÍAS )

BATERÍA PARA VENTILADOR TAKAOKA SAMRT

SENSOR DE FLUJO ADULTO

SENSOR DE FLUJO PEDRIATRICO

LÍNEAS DE SENSOR DE FLUJO

DIAFRAGMA DE VÁLVULA ESPIRATORIA

FILTROS DE EXHALACIÓN PURITAN  BENNETT 840

ASPIRACIONES DE SECRECIONES 18600  MARCA DRIVE

",2020-04-06,2020-12-31,456346,MXN,Expirado,0,0,,HECTOR OMAR FLORES RODRIGUEZ,Micro,MX,https://compranet.hacienda.gob.mx/esop/guest/go/opportunity/detail?opportunityId=1840332
IMSS,Instituto Mexicano del Seguro Social,IMSS-UMAE Hospital de Especilidades No.71 Depto de Abastecimiento #050GYR045,2075967,3540,AA-050GYR045-E100-2020,AA-050GYR045-E100-2020,,2020-03-09 17:50,2020-03-18 12:00,Nacional,Servicios,ADJUDICACIÓN DIRECTA,Electrónica,2298458,SERV. MANTTO PREV. Y CORRECT.A UNID DE CONT PARA ELECTROCIRUGIA MARCA COVIDIEN,SERV. MANTTO PREV. Y CORRECT.A UNID DE CONT PARA ELECTROCIRUGIA MARCA COVIDIEN,2020-03-31,2020-12-31,34400,MXN,Expirado,0,0,CIB090813HQ2,CORPORATIVO INGENIEROS BIOMEDICOS CIBSA SA DE CV,Micro,MX,https://compranet.hacienda.gob.mx/esop/guest/go/opportunity/detail?opportunityId=1815632
IMSS,Instituto Mexicano del Seguro Social,IMSS-Hospital de Traumatologia y Ortopedia Lomas Verdes #050GYR071,2025762,3540,SERVICIO DE MANTENIMIENTO PREVENTIVO Y CORRECTIVO A CAMAS CLINITRON ,LA-050GYR071-E186-2019,2019-12-16,2019-11-28 17:24,2019-12-13 12:00,Nacional,Servicios,LICITACIÓN PÚBLICA,Electrónica,2298475,SERVICIO DE MANTENIMIENTO PREVENTIVO Y CORRECTIVO A CAMAS CLINITRON DE LA UMAE-HTOLV,SERVICIO DE MANTENIMIENTO PREVENTIVO Y CORRECTIVO A CAMAS CLINITRON DE LA UMAE-HTOLV,2020-01-01,2020-12-31,1327466.68,MXN,Expirado,0,0,CIB041124I33,CONSORCIO INTEGRAL BIOMEDICA SA DE CV,Pequeña,MX,https://compranet.hacienda.gob.mx/esop/guest/go/opportunity/detail?opportunityId=1775238
SENASICA,"Servicio Nacional de Sanidad, Inocuidad y Calidad Agroalimentaria",SENASICA-Dirección de Recursos Materiales y Servicios Generales #008B00001,2096905,3540,AA-008B00001-E77-2020 SERVICIO DE MANTENIMIENTO A EQUIPO DE LABORATORIO,AA-008B00001-E77-2020,,2020-07-08 13:57,2020-04-15 23:59,Nacional,Servicios,ADJUDICACIÓN DIRECTA,Presencial,2296331,"AA-008B00001-E77-2020 SERVICIO DE MANTENIMIENTO PREVENTIVO, CORRECTIVO, CALIBRACIÓN  Y CALIFICACIÓN PARA LOS EQUIPOS DE LABORATORIO DE LAS MARCAS AGILENT TECHNOLOGIES, WATERS, ANTON PARA, APPLIED BIOSYSTEMS, HYGIENA, PAILERIA, NUAIRE, ILLUMINA, BIOCONTROL ","SERVICIO DE MANTENIMIENTO PREVENTIVO, CORRECTIVO, CALIBRACIÓN  Y CALIFICACIÓN PARA LOS EQUIPOS DE LABORATORIO DE LAS MARCAS AGILENT TECHNOLOGIES, WATERS, ANTON PARA, APPLIED BIOSYSTEMS, HYGIENA, PAILERIA, NUAIRE, ILLUMINA, BIOCONTROL Y BIOMERIEUX PARA EL CNRPYC

",2020-04-16,2020-12-31,617752.8,MXN,Expirado,0,0,ANA940922MU9,ANALITEK SA DE CV,Pequeña,MX,https://compranet.hacienda.gob.mx/esop/guest/go/opportunity/detail?opportunityId=1834517
SENASICA,"Servicio Nacional de Sanidad, Inocuidad y Calidad Agroalimentaria",SENASICA-Dirección de Recursos Materiales y Servicios Generales #008B00001,2096905,3540,AA-008B00001-E77-2020 SERVICIO DE MANTENIMIENTO A EQUIPO DE LABORATORIO,AA-008B00001-E77-2020,,2020-07-08 13:57,2020-04-15 23:59,Nacional,Servicios,ADJUDICACIÓN DIRECTA,Presencial,2296348,"AA-008B00001-E77-2020 SERVICIO DE MANTENIMIENTO PREVENTIVO, CORRECTIVO, CALIBRACIÓN  Y CALIFICACIÓN PARA LOS EQUIPOS DE LABORATORIO DE LAS MARCAS AGILENT TECHNOLOGIES, WATERS, ANTON PARA, APPLIED BIOSYSTEMS, HYGIENA, PAILERIA, NUAIRE, ILLUMINA, BIOCONTROL ","SERVICIO DE MANTENIMIENTO PREVENTIVO, CORRECTIVO, CALIBRACIÓN  Y CALIFICACIÓN PARA LOS EQUIPOS DE LABORATORIO DE LAS MARCAS AGILENT TECHNOLOGIES, WATERS, ANTON PARA, APPLIED BIOSYSTEMS, HYGIENA, PAILERIA, NUAIRE, ILLUMINA, BIOCONTROL Y BIOMERIEUX PARA EL CNRPYC

",2020-04-16,2020-12-31,396658,MXN,Terminado,0,0,BME9203036I1,BIOMERIEUX MEXICO SA DE CV,Mediana,MX,https://compranet.hacienda.gob.mx/esop/guest/go/opportunity/detail?opportunityId=1834517
INCMNSZ,Instituto Nacional de Ciencias Médicas y Nutrición Salvador Zubirán,INCMNSZ-Subdirección de Recursos Materiales y Servicios Generales #012NCG001,2097547,2950,CELDA DE OXIGENO PARA EL VENTILADOR MODELO EVITA 4 MARCA DRAGER CON CADUCIDAD VI,AA-012NCG001-E477-2020,,2020-04-21 12:24,2020-03-19 09:00,Internacional,Adquisiciones,ADJUDICACIÓN DIRECTA,Presencial,2296855,CELDA DE OXIGENO PARA EL VENTILADOR MODELO EVITA 4 MARCA DRAGER CON CADUCIDAD VIGENTE POR AL MENOS 6 MESES A PARTIR DE LA ENTREGA    PRES. PZA.,CELDA DE OXIGENO PARA EL VENTILADOR MODELO EVITA 4 MARCA DRAGER CON CADUCIDAD VIGENTE POR AL MENOS 6 MESES A PARTIR DE LA ENTREGA    PRES. PZA.,2020-03-20,2020-12-31,71701.65,MXN,Expirado,0,0,OMN070411IW1,OMNINUS SA DE CV,Pequeña,MX,https://compranet.hacienda.gob.mx/esop/guest/go/opportunity/detail?opportunityId=1834977
INCMNSZ,Instituto Nacional de Ciencias Médicas y Nutrición Salvador Zubirán,INCMNSZ-Subdirección de Recursos Materiales y Servicios Generales #012NCG001,2097560,2950,TRANSDUCTOR D EPRESION INVASIVA REUSABLE PARA MONITORES DE PACIENTE COMPATIBLE C,AA-012NCG001-E478-2020,,2020-04-21 12:31,2020-03-19 09:00,Internacional,Adquisiciones,ADJUDICACIÓN DIRECTA,Presencial,2296874,TRANSDUCTOR D EPRESION INVASIVA REUSABLE PARA MONITORES DE PACIENTE COMPATIBLE CON CABLES TRONCALES MEDEX    PRES. CAJA C/5 PZAS.,TRANSDUCTOR D EPRESION INVASIVA REUSABLE PARA MONITORES DE PACIENTE COMPATIBLE CON CABLES TRONCALES MEDEX    PRES. CAJA C/5 PZAS.,2020-03-20,2020-12-31,69500,MXN,Expirado,0,0,ATE8803043P7,ABASTECEDOR TERAPEUTICO SA DE CV,Mediana,MX,https://compranet.hacienda.gob.mx/esop/guest/go/opportunity/detail?opportunityId=1834985
IMTA,Instituto Mexicano de Tecnología del Agua,IMTA-Coordinación de Administración #016RJE002,2076157,5310,EQUIPO DE LABORATORIO,AA-016RJE002-E3-2020,,2020-03-10 11:47,2020-03-12 10:00,Internacional,Adquisiciones,ADJUDICACIÓN DIRECTA,Electrónica,2290857,EQUIPO DE LABORATORIO ,EQUIPO DE LABORATORIO ,2020-03-23,2020-04-27,111304.44,MXN,Expirado,0,0,RME570306PG0,ROSSBACH DE MEXICO SA DE CV,Mediana,MX,https://compranet.hacienda.gob.mx/esop/guest/go/opportunity/detail?opportunityId=1815833
INP,Instituto Nacional de Pediatría,INP-Dirección de Administración #012NCZ001,2102031,2950,NARIZ ARTIFICIAL ADULTO HUMIT-VENT 2 CON PUERTO PARA CO2 RANGO DE 150-1500 ML. P,AA-012NCZ001-E421-2020,,2020-04-29 12:00,2020-04-23 11:30,Nacional,Adquisiciones,ADJUDICACIÓN DIRECTA,Electrónica,2302270,NARIZ ARTIFICIAL ADULTO HUMIT-VENT 2 CON PUERTO PARA CO2 RANGO DE 150-1500 ML. PARA CONECTAR A VENTILADOR.,"NARIZ ARTIFICIAL ADULTO HUMIT-VENT 2 CON PUERTO PARA CO2 RANGO DE 150-1500 ML. PARA CONECTAR A VENTILADOR.

",2020-04-24,2021-02-26,4027.5,MXN,Expirado,0,0,CUC190729U13,COMERCIALIZADORA UCIN S A P I DE CV,Mediana,MX,https://compranet.hacienda.gob.mx/esop/guest/go/opportunity/detail?opportunityId=1838875
IMSS,Instituto Mexicano del Seguro Social,IMSS-Coordinación de Abastecimiento y Equipamiento #050GYR009,2096478,5310,AA-050GYR009-E171-2020 ADQUISICIÓN DE VENTILADORES Y MONITORES  COVID-19,AA-050GYR009-E171-2020,,2020-04-17 18:14,2020-04-21 10:00,Internacional,Adquisiciones,ADJUDICACIÓN DIRECTA,Electrónica,2305706,BIA200801090291,AA-050GYR009-E171-2020 ADQUISICIÓN DE VENTILADORES Y MONITORES DE SIGNOS VITALES COVID-19,2020-04-24,2021-01-01,452831.01,MXN,Expirado,0,0,SIM881017I91,SERVICIOS DE INGENIERIA EN MEDICINA SA DE CV,No MIPYME,MX,https://compranet.hacienda.gob.mx/esop/guest/go/opportunity/detail?opportunityId=1834095
INER,Instituto Nacional de Enfermedades Respiratorias Ismael Cosío Villegas,INER-Departamento de Adquisiciones #012NCD001,2096821,5310,ADQUISICION DE EQUIPO DE VENTILACION DE ALTO DESEMPEÑO,AA-012NCD001-E154-2020,,2020-04-20 13:10,2020-04-17 12:00,Nacional,,ADJUDICACIÓN DIRECTA,Presencial,2296195,ADQUISICION DE EQUIPO DE VENTILACION DE ALTO DESEMPEÑO,ADQUISICION DE EQUIPO DE VENTILACION DE ALTO DESEMPEÑO ,2020-04-17,2020-12-31,10954300,MXN,Expirado,0,0,GEO990820190,GRUPO EOLICA SA DE CV,Mediana,MX,https://compranet.hacienda.gob.mx/esop/guest/go/opportunity/detail?opportunityId=1834382
SENASICA,"Servicio Nacional de Sanidad, Inocuidad y Calidad Agroalimentaria",SENASICA-Dirección de Recursos Materiales y Servicios Generales #008B00001,2096905,3540,AA-008B00001-E77-2020 SERVICIO DE MANTENIMIENTO A EQUIPO DE LABORATORIO,AA-008B00001-E77-2020,,2020-07-08 13:57,2020-04-15 23:59,Nacional,Servicios,ADJUDICACIÓN DIRECTA,Presencial,2296277,"AA-008B00001-E77-2020 SERVICIO DE MANTENIMIENTO PREVENTIVO, CORRECTIVO, CALIBRACIÓN  Y CALIFICACIÓN PARA LOS EQUIPOS DE LABORATORIO DE LAS MARCAS AGILENT TECHNOLOGIES, WATERS, ANTON PARA, APPLIED BIOSYSTEMS, HYGIENA, PAILERIA, NUAIRE, ILLUMINA, BIOCONTROL ","SERVICIO DE MANTENIMIENTO PREVENTIVO, CORRECTIVO, CALIBRACIÓN  Y CALIFICACIÓN PARA LOS EQUIPOS DE LABORATORIO DE LAS MARCAS AGILENT TECHNOLOGIES, WATERS, ANTON PARA, APPLIED BIOSYSTEMS, HYGIENA, PAILERIA, NUAIRE, ILLUMINA, BIOCONTROL Y BIOMERIEUX PARA EL CNRPYC

",2020-04-16,2020-12-31,204907,MXN,Terminado,0,0,APM0405279H8,ANTON PAAR MEXICO ,Mediana,MX,https://compranet.hacienda.gob.mx/esop/guest/go/opportunity/detail?opportunityId=1834517
IMSS,Instituto Mexicano del Seguro Social,IMSS-Jefatura de Servicios Administrativos #050GYR002,2085787,3540,AA-050GYR002-E116-2020 SERV. MANTENIMIENTO A EQUIPOS MEDICOS,AA-050GYR002-E116-2020,,2020-03-27 16:19,2020-04-01 09:00,Nacional,Servicios,ADJUDICACIÓN DIRECTA,Electrónica,2306800,CCOA201425080044 AA-050GYR002-E116-2020 SERV. MANTENIMIENTO A EQUIPOS MEDICOS,AA-050GYR002-E116-2020 SERV. MANTENIMIENTO A EQUIPOS MEDICOS,2020-04-21,2020-12-31,1139700,MXN,Expirado,0,0,FLE140724BN1,FLEXUS SA DE CV,Micro,MX,https://compranet.hacienda.gob.mx/esop/guest/go/opportunity/detail?opportunityId=1824444
SENASICA,"Servicio Nacional de Sanidad, Inocuidad y Calidad Agroalimentaria",SENASICA-Dirección de Recursos Materiales y Servicios Generales #008B00001,2096905,3540,AA-008B00001-E77-2020 SERVICIO DE MANTENIMIENTO A EQUIPO DE LABORATORIO,AA-008B00001-E77-2020,,2020-07-08 13:57,2020-04-15 23:59,Nacional,Servicios,ADJUDICACIÓN DIRECTA,Presencial,2296306,"AA-008B00001-E77-2020 SERVICIO DE MANTENIMIENTO PREVENTIVO, CORRECTIVO, CALIBRACIÓN  Y CALIFICACIÓN PARA LOS EQUIPOS DE LABORATORIO DE LAS MARCAS AGILENT TECHNOLOGIES, WATERS, ANTON PARA, APPLIED BIOSYSTEMS, HYGIENA, PAILERIA, NUAIRE, ILLUMINA, BIOCONTROL ","SERVICIO DE MANTENIMIENTO PREVENTIVO, CORRECTIVO, CALIBRACIÓN  Y CALIFICACIÓN PARA LOS EQUIPOS DE LABORATORIO DE LAS MARCAS AGILENT TECHNOLOGIES, WATERS, ANTON PARA, APPLIED BIOSYSTEMS, HYGIENA, PAILERIA, NUAIRE, ILLUMINA, BIOCONTROL Y BIOMERIEUX PARA EL CNRPYC

",2020-04-16,2020-12-31,491287.5,MXN,Expirado,0,0,PMR040114S61,HYGIENA MEXICO SA DE CV,Pequeña,MX,https://compranet.hacienda.gob.mx/esop/guest/go/opportunity/detail?opportunityId=1834517
HJM,Hospital Juárez de México,HJM-Dirección de Administración #012NAW001,2088289,3540,SERVICIO DE MANTENIMIENTO PREVENTIVO Y CORRECTIVO DE  LA UNIDAD DE COBALTO 60,AA-012NAW001-E210-2020,,2020-04-01 14:14,2020-04-03 12:00,Nacional,Servicios,ADJUDICACIÓN DIRECTA,Electrónica,2296312,HJMS/056/2020 SERVICIO DE MANTENIMIENTO PREVENTIVO Y CORRECTIVO DE LA UNIDAD DE COBALTO 60,HJMS/056/2020 SERVICIO DE MANTENIMIENTO PREVENTIVO Y CORRECTIVO DE LA UNIDAD DE COBALTO 60,2020-04-16,2020-12-16,409500,MXN,Expirado,0,0,ARA800729N99,ASESORES EN RADIACIONES SA,Pequeña,MX,https://compranet.hacienda.gob.mx/esop/guest/go/opportunity/detail?opportunityId=1826657
IMSS,Instituto Mexicano del Seguro Social,IMSS-Coordinación de Abastecimiento y Equipamiento de la Delegación Sur del Distrito Federal #050GYR025,2096731,5310,SANITIZACIÓN PARA LAS UNIDADES MÉDICAS.,AA-050GYR025-E228-2020,,2020-04-20 20:05,2020-04-22 12:00,Nacional,Servicios,ADJUDICACIÓN DIRECTA,Electrónica,2297934,SANITIZACIÓN PARA LAS UNIDADES MÉDICAS.,SANITIZACIÓN PARA LAS UNIDADES MÉDICAS DEL ÓRGANO DE OPERACIÓN ADMINISTRATIVA DESCONCENTRADA DISTRITO FEDERAL SUR.,2020-04-23,2020-09-30,17499999.9,MXN,Expirado,0,0,EMV640304779,EQUIPOS MEDICOS VIZCARRA SA,Mediana,MX,https://compranet.hacienda.gob.mx/esop/guest/go/opportunity/detail?opportunityId=1834790
IMSS,Instituto Mexicano del Seguro Social,IMSS-Hospital de Gineco Pediatria UMAE No 48 #050GYR074,2066870,3540,CONTRATACION DEL SERVICIO DE MANTENIMIENTO PREVENTIVO Y/O CORRECTIVO DE 07 (SIET,LA-050GYR074-E56-2020,2020-04-06,2020-03-19 23:18,2020-03-30 12:00,Nacional,Servicios,LICITACIÓN PÚBLICA,Electrónica,2302880,"CONTRATACION DEL SERVICIO DE MANTENIMIENTO PREVENTIVO Y/O CORRECTIVO DE 07 (SIETE) MONITORES DE SIGNOS VITALES MARCA PHILIPS MODELO INTERLLIVE MP20 Y 02 (DOS) CENTRALES DE MONITOREO MARCA PHILLIPS MODELO M3150, SERVICIO DE MANTENIMIENTO PREVENTIVO Y/O CORR","CONTRATACION DEL SERVICIO DE MANTENIMIENTO PREVENTIVO Y/O CORRECTIVO DE 07 (SIETE) MONITORES DE SIGNOS VITALES MARCA PHILIPS MODELO INTERLLIVE MP20 Y 02 (DOS) CENTRALES DE MONITOREO MARCA PHILLIPS MODELO M3150, SERVICIO DE MANTENIMIENTO PREVENTIVO Y/O CORRECTIVO DE 04 (CUATRO) UNIDADES DE ANESTESIA MARCA: DAMECA MODELO: SIESTA ITS, SERVICIO DE MANTENIMIENTO PREVENTIVO Y/O CORRECTIVO DE 12 (DOCE) CUNAS DE CALOR RADIANTE MARCA ATMOSCARE, MODELO EXSPECTA, PARA EL EJERCICIO 2020.",2020-04-07,2020-12-31,258620.69,MXN,Expirado,0,0,MMS0210147V2,MAFE MEDICAL SERVICE SA DE CV,Micro,MX,https://compranet.hacienda.gob.mx/esop/guest/go/opportunity/detail?opportunityId=1811011
IMSS,Instituto Mexicano del Seguro Social,IMSS-Conservación y Servicios Generales_Dirección Administrativa #050GYR983,1999375,2950,SUMINISTRO DE REFACCIONES PARA CAMA HOSPITALARIA,LA-050GYR983-E33-2019,2019-11-20,2019-10-31 17:59,2019-11-15 10:00,Nacional,Adquisiciones,LICITACIÓN PÚBLICA,Electrónica,2306870,SUMINISTRO DE REFACCIONES PARA CAMA HOSPITALARIA,SUMINISTRO DE REFACCIONES PARA CAMA HOSPITALARIA,2020-04-07,2020-12-31,517241.37,MXN,Expirado,0,0,,GEORGINA AYALA FRANCO,No MIPYME,MX,https://compranet.hacienda.gob.mx/esop/guest/go/opportunity/detail?opportunityId=1758651
IMSS,Instituto Mexicano del Seguro Social,IMSS-Hospital de Traumatologia y Ortopedia Lomas Verdes #050GYR071,2094913,3540,SERVICIO DE MANTENIMIENTO CORRECTIVO A INSTRUMENTAL QUIRÚRGICO,IA-050GYR071-E46-2020,2020-04-28,2020-04-15 07:45,2020-04-24 11:00,Nacional,Servicios,INVITACIÓN A CUANDO MENOS 3 PERSONAS,Electrónica,2306911,SERVICIO DE MANTENIMIENTO CORRECTIVO A INSTRUMENTAL QUIRÚRGICO PARA LA UMAE-HTOLV,"SERVICIO DE MANTENIMIENTO CORRECTIVO A INSTRUMENTAL QUIRÚRGICO DE LA UNIDAD MEDICA DE ALTA ESPECIALIDAD HOSPITAL DE TRAUMATOLOGÍA Y ORTOPEDIA “LOMAS VERDES”

DEL INSTITUTO MEXICANO DEL SEGURO SOCIAL.

",2020-05-01,2020-12-31,1200000,MXN,Expirado,0,0,,JOSE LUIS JIMENEZ HERNANDEZ,No MIPYME,MX,https://compranet.hacienda.gob.mx/esop/guest/go/opportunity/detail?opportunityId=1832485
ISSSTE,Instituto de Seguridad y Servicios Sociales de los Trabajadores del Estado,"ISSSTE-Hospital Regional Gral. Ignacio Zaragoza, Coordinación de Recursos Materiales #051GYN085",2098775,5310,EQUIPO MÉDICO Y DE LABORATORIO,AA-051GYN085-E186-2020,,2020-04-23 10:32,2020-04-20 10:00,Nacional,Adquisiciones,ADJUDICACIÓN DIRECTA,Electrónica,2298044,EQUIPO MÉDICO Y DE LABORATORIO,EQUIPO MÉDICO Y DE LABORATORIO,2020-04-20,2020-04-30,4668750,MXN,Expirado,0,0,GEI100906ED4,GRUPO ESMOVED INTERNATIONAL SA DE CV,Pequeña,MX,https://compranet.hacienda.gob.mx/esop/guest/go/opportunity/detail?opportunityId=1836022
IMSS,Instituto Mexicano del Seguro Social,IMSS-Hospital de Gineco Pediatria UMAE No 48 #050GYR074,2066870,3540,CONTRATACION DEL SERVICIO DE MANTENIMIENTO PREVENTIVO Y/O CORRECTIVO DE 07 (SIET,LA-050GYR074-E56-2020,2020-04-06,2020-03-19 23:18,2020-03-30 12:00,Nacional,Servicios,LICITACIÓN PÚBLICA,Electrónica,2302899,"CONTRATACION DEL SERVICIO DE MANTENIMIENTO PREVENTIVO Y/O CORRECTIVO DE 07 (SIETE) MONITORES DE SIGNOS VITALES MARCA PHILIPS MODELO INTERLLIVE MP20 Y 02 (DOS) CENTRALES DE MONITOREO MARCA PHILLIPS MODELO M3150, SERVICIO DE MANTENIMIENTO PREVENTIVO Y/O CORR","CONTRATACION DEL SERVICIO DE MANTENIMIENTO PREVENTIVO Y/O CORRECTIVO DE 07 (SIETE) MONITORES DE SIGNOS VITALES MARCA PHILIPS MODELO INTERLLIVE MP20 Y 02 (DOS) CENTRALES DE MONITOREO MARCA PHILLIPS MODELO M3150, SERVICIO DE MANTENIMIENTO PREVENTIVO Y/O CORRECTIVO DE 04 (CUATRO) UNIDADES DE ANESTESIA MARCA: DAMECA MODELO: SIESTA ITS, SERVICIO DE MANTENIMIENTO PREVENTIVO Y/O CORRECTIVO DE 12 (DOCE) CUNAS DE CALOR RADIANTE MARCA ATMOSCARE, MODELO EXSPECTA, PARA EL EJERCICIO 2020.",2020-04-07,2020-12-31,474137.93,MXN,Expirado,0,0,MMS0210147V2,MAFE MEDICAL SERVICE SA DE CV,Micro,MX,https://compranet.hacienda.gob.mx/esop/guest/go/opportunity/detail?opportunityId=1811011
IMSS,Instituto Mexicano del Seguro Social,"IMSS-Departamento de Adquisiciones, Bienes y Equipamiento #050GYR069",2087024,5310,Servicio de Mtto. Preventivo y Correctivo con Refacciones para Equipo Médico,IA-050GYR069-E119-2020,2020-04-23,2020-04-01 15:58,2020-04-23 09:00,Nacional,Servicios,INVITACIÓN A CUANDO MENOS 3 PERSONAS,Electrónica,2305008,Servicio de Mtto. Preventivo y Correctivo con Refacciones para Equipo Médico,Servicio de Mantenimiento Preventivo y Correctivo con Suministro de Refacciones para Equipo Médico de la Delegación Campeche para el Ejercicio 2020,2020-04-29,2020-12-31,487032,MXN,Expirado,0,0,IEC020212736,INGENIERIA EN ESTERILIZACION Y CONTROL SA DE CV,Pequeña,MX,https://compranet.hacienda.gob.mx/esop/guest/go/opportunity/detail?opportunityId=1826808
HRAEB,Hospital Regional de Alta Especialidad del Bajío,HRAEB-Dirección de Administración y Finanzas #012NBQ001,2100047,3540,MANTENIMIENTO DE EQUIPO MEDICO PARA EL HRAEB,AA-012NBQ001-E96-2020,,2020-04-24 17:13,2020-04-29 10:00,Nacional,Servicios,ADJUDICACIÓN DIRECTA,Electrónica,2305030,MANTENIMIENTO PREVENTIVO CORRECTIVO A EQUIPO MÉDICO MARCA CARL ZEISS,MANTENIMIENTO DE EQUIPO MEDICO PARA EL HRAEB,2020-05-04,2020-12-31,2444191.52,MXN,Expirado,0,0,CZM770124B99,CARL ZEISS DE MEXICO SA DE CV,No MIPYME,MX,https://compranet.hacienda.gob.mx/esop/guest/go/opportunity/detail?opportunityId=1837112
HRAEB,Hospital Regional de Alta Especialidad del Bajío,HRAEB-Dirección de Administración y Finanzas #012NBQ001,2100047,3540,MANTENIMIENTO DE EQUIPO MEDICO PARA EL HRAEB,AA-012NBQ001-E96-2020,,2020-04-24 17:13,2020-04-29 10:00,Nacional,Servicios,ADJUDICACIÓN DIRECTA,Electrónica,2305031,MANTENIMIENTO PREVENTIVO CORRECTIVO A EQUIPO MÉDICO MARCA INTERACOUSTICS,MANTENIMIENTO DE EQUIPO MEDICO PARA EL HRAEB,2020-05-04,2020-12-31,326000,MXN,Expirado,0,0,RDR870923E77,REPRESENTACIONES Y DISTRIBUCIONES DEL RELLO SA DE CV,Pequeña,MX,https://compranet.hacienda.gob.mx/esop/guest/go/opportunity/detail?opportunityId=1837112
HRAEV,"Hospital Regional de Alta Especialidad de Ciudad Victoria ""Bicentenario 2010""","HRAEV-Dirección de Administración y Finanzas, Subdirección de Recursos Materiales #012NBT999",2103919,3540,SERVICIOS PROFESIONALES DE INGENIERIO BIOMEDICO,AA-012NBT999-E178-2020,,2020-05-04 13:32,2020-04-16 00:00,Nacional,Servicios,ADJUDICACIÓN DIRECTA,Mixta,2305303,SERVICIOS PROFESIONALES DE INGENIERIO BIOMEDICO,"SERVICIOS PROFESIONALES DE INGENIERIO BIOMEDICO

",2020-04-16,2020-07-15,44055.96,MXN,Expirado,0,0,,TOBIAS GABRIEL DE LEON BANDA,Micro,MX,https://compranet.hacienda.gob.mx/esop/guest/go/opportunity/detail?opportunityId=1840677
IMSS,Instituto Mexicano del Seguro Social,IMSS-Coordinación de Abastecimiento y Equipamiento #050GYR010,2086554,5310,AA-050GYR010-E87-2020 CONSUMIBLES Y ACCESORIOS EQUIPO MEDICO COVID-19,AA-050GYR010-E87-2020,,2020-03-30 13:41,2020-04-02 11:00,Internacional bajo TLC,Adquisiciones,ADJUDICACIÓN DIRECTA,Electrónica,2289902,D0P0106,AA-050GYR010-E87-2020 CONSUMIBLES Y ACCESORIOS EQUIPO MEDICO COVID-19,2020-04-03,2020-04-16,45040,MXN,Expirado,0,0,TCP1008053K5,TECNO COMERCIAL PAKTLI SA DE CV,Micro,MX,https://compranet.hacienda.gob.mx/esop/guest/go/opportunity/detail?opportunityId=1825134
INER,Instituto Nacional de Enfermedades Respiratorias Ismael Cosío Villegas,"INER-Departamento de Mantenimiento, Conservación y Construcción #012NCD002",2087734,3540,SERVICIO DE MANTENIMIENTO CORRECTIVO A NASOFARINGOSCOPIO,AA-012NCD002-E25-2020,,2020-04-01 11:07,2020-04-13 14:00,Nacional,Servicios,ADJUDICACIÓN DIRECTA,Electrónica,2296302,SERVICIO DE MANTENIMIENTO CORRECTIVO A NASOFARINGOSCOPIO,SERVICIO DE MANTENIMIENTO CORRECTIVO A NASOFARINGOSCOPIO,2020-04-16,2020-12-31,99580.8,MXN,Expirado,0,0,KSE940831N79,KARL STORZ ENDOSCOPIA MEXICO SA DE CV,Pequeña,MX,https://compranet.hacienda.gob.mx/esop/guest/go/opportunity/detail?opportunityId=1826137
